stature,weightkg,chestbreadth
1865,1108,284
1858,762,291
1800,968,296
1640,711,263
1761,1010,304
1809,1012,278
1675,870,305
1777,979,303
1818,1038,316
1770,891,285
1668,746,264
1740,840,284
1790,750,294
1708,1106,313
1684,727,271
1828,882,288
1682,663,257
1805,852,294
1666,734,266
1727,687,286
1828,925,332
1683,762,283
1709,804,288
1696,921,301
1790,914,277
1795,796,308
1736,746,274
1778,726,257
1771,687,283
1845,892,290
1738,690,250
1710,682,263
1645,757,284
1700,827,281
1687,801,280
1810,930,289
1722,760,264
1788,950,289
1784,691,267
1780,811,276
1777,847,307
1746,730,280
1775,791,289
1774,963,325
1735,1049,331
1748,870,275
1704,705,263
1728,978,314
1767,1039,326
1719,969,340
1878,783,271
1703,836,302
1726,694,270
1703,958,278
1701,945,305
1788,807,290
1797,912,284
1772,850,270
1657,744,279
1786,980,282
1743,926,286
1751,843,292
1698,782,282
1722,969,301
1663,869,290
1813,956,303
1784,876,300
1854,892,276
1653,609,274
1700,796,299
1960,981,315
1734,742,276
1737,955,316
1838,952,294
1699,848,314
1805,871,330
1830,1041,320
1764,662,285
1724,821,322
1755,844,302
1818,876,303
1808,800,298
1917,984,311
1771,787,257
1803,952,318
1792,676,272
1756,683,290
1780,841,288
1792,828,294
1863,937,308
1820,1060,302
1798,869,284
1913,853,298
1691,753,281
1822,933,314
1718,849,294
1789,957,284
1674,755,273
1692,773,300
1804,735,268
1800,849,282
1862,1010,317
1667,741,277
1633,773,304
1673,833,280
1896,945,310
1826,984,296
1680,746,294
1799,917,298
1793,883,292
1820,1016,291
1788,670,286
1708,726,292
1872,1185,318
1897,829,298
1739,786,271
1706,781,286
1749,713,263
1721,831,297
1838,771,312
1714,731,283
1683,775,295
1688,727,294
1696,758,273
1780,898,297
1812,1346,324
1748,870,303
1670,670,277
1811,847,275
1781,1013,296
1764,802,284
1661,697,264
1737,947,283
1702,791,299
1636,736,270
1709,855,312
1710,1036,319
1669,759,276
1790,932,291
1792,955,311
1696,661,273
1784,936,324
1767,865,298
1666,784,293
1721,724,292
1644,737,289
1724,838,287
1646,792,293
1771,700,284
1781,886,309
1700,703,291
1780,750,289
1758,953,313
1818,785,315
1703,980,293
1706,717,278
1726,642,302
1763,784,285
1652,734,255
1805,1000,304
1874,962,308
1816,809,300
1740,791,288
1681,680,291
1655,656,289
1763,841,270
1746,588,275
1733,738,289
1757,672,276
1567,620,254
1703,737,273
1718,848,285
1871,792,294
1728,858,293
1788,848,295
1688,675,266
1765,896,323
1690,832,290
1718,731,284
1828,985,308
